vehicle_id,vehicle_type,vehicle_capacity_kg,fuel_type,registration_date
VEH0001,VAN,1000,Diesel,2025-02-05
VEH0002,TRUCK,5000,Diesel,2024-10-28
VEH0003,MINI_TRUCK,2500,CNG,2024-02-21
VEH0004,EV_VAN,1200,Electric,2025-05-25
VEH0005,VAN,1000,Diesel,2022-06-29
VEH0006,TRUCK,5000,Diesel,2025-07-13
VEH0007,MINI_TRUCK,2500,CNG,2025-04-05
VEH0008,EV_VAN,1200,Electric,2023-12-07
VEH0009,VAN,1000,Diesel,2024-10-23
VEH0010,TRUCK,5000,Diesel,2023-12-30
VEH0011,MINI_TRUCK,2500,CNG,2023-01-12
VEH0012,EV_VAN,1200,Electric,2025-01-24
VEH0013,VAN,1000,Diesel,2022-12-11
VEH0014,TRUCK,5000,Diesel,2023-03-17
VEH0015,MINI_TRUCK,2500,CNG,2023-12-29
VEH0016,EV_VAN,1200,Electric,2025-03-18
VEH0017,VAN,1000,Diesel,2023-06-22
VEH0018,TRUCK,5000,Diesel,2023-11-23
VEH0019,MINI_TRUCK,2500,CNG,2022-02-28
VEH0020,EV_VAN,1200,Electric,2022-06-12
VEH0021,VAN,1000,Diesel,2022-03-20
VEH0022,TRUCK,5000,Diesel,2022-04-11
VEH0023,MINI_TRUCK,2500,CNG,2025-04-30
VEH0024,EV_VAN,1200,Electric,2025-03-24
VEH0025,VAN,1000,Diesel,2025-02-24
VEH0026,TRUCK,5000,Diesel,2022-03-19
VEH0027,MINI_TRUCK,2500,CNG,2022-04-19
VEH0028,EV_VAN,1200,Electric,2023-01-28
VEH0029,VAN,1000,Diesel,2024-03-02
VEH0030,TRUCK,5000,Diesel,2023-04-13
VEH0031,MINI_TRUCK,2500,CNG,2023-11-14
VEH0032,EV_VAN,1200,Electric,2022-08-31
VEH0033,VAN,1000,Diesel,2024-10-20
VEH0034,TRUCK,5000,Diesel,2023-03-16
VEH0035,MINI_TRUCK,2500,CNG,2022-04-04
VEH0036,EV_VAN,1200,Electric,2024-11-05
VEH0037,VAN,1000,Diesel,2025-06-17
VEH0038,TRUCK,5000,Diesel,2022-01-21
VEH0039,MINI_TRUCK,2500,CNG,2023-09-04
VEH0040,EV_VAN,1200,Electric,2025-03-04
VEH0041,VAN,1000,Diesel,2024-09-15
VEH0042,TRUCK,5000,Diesel,2025-04-14
VEH0043,MINI_TRUCK,2500,CNG,2023-08-05
VEH0044,EV_VAN,1200,Electric,2023-06-06
VEH0045,VAN,1000,Diesel,2024-09-19
VEH0046,TRUCK,5000,Diesel,2022-08-04
VEH0047,MINI_TRUCK,2500,CNG,2022-12-02
VEH0048,EV_VAN,1200,Electric,2024-04-21
VEH0049,VAN,1000,Diesel,2024-07-24
VEH0050,TRUCK,5000,Diesel,2022-06-17
VEH0051,MINI_TRUCK,2500,CNG,2023-12-13
VEH0052,EV_VAN,1200,Electric,2023-05-26
VEH0053,VAN,1000,Diesel,2023-12-04
VEH0054,TRUCK,5000,Diesel,2025-09-03
VEH0055,MINI_TRUCK,2500,CNG,2022-04-18
VEH0056,EV_VAN,1200,Electric,2025-10-25
VEH0057,VAN,1000,Diesel,2023-09-22
VEH0058,TRUCK,5000,Diesel,2024-12-16
VEH0059,MINI_TRUCK,2500,CNG,2023-08-18
VEH0060,EV_VAN,1200,Electric,2023-03-12
VEH0061,VAN,1000,Diesel,2024-12-14
VEH0062,TRUCK,5000,Diesel,2024-08-20
VEH0063,MINI_TRUCK,2500,CNG,2022-07-21
VEH0064,EV_VAN,1200,Electric,2024-09-14
VEH0065,VAN,1000,Diesel,2024-11-20
VEH0066,TRUCK,5000,Diesel,2023-06-27
VEH0067,MINI_TRUCK,2500,CNG,2025-07-19
VEH0068,EV_VAN,1200,Electric,2024-06-16
VEH0069,VAN,1000,Diesel,2023-04-13
VEH0070,TRUCK,5000,Diesel,2022-01-16
VEH0071,MINI_TRUCK,2500,CNG,2024-08-02
VEH0072,EV_VAN,1200,Electric,2022-10-20
VEH0073,VAN,1000,Diesel,2024-11-25
VEH0074,TRUCK,5000,Diesel,2024-01-06
VEH0075,MINI_TRUCK,2500,CNG,2023-10-16
VEH0076,EV_VAN,1200,Electric,2022-08-18
VEH0077,VAN,1000,Diesel,2024-09-23
VEH0078,TRUCK,5000,Diesel,2022-08-21
VEH0079,MINI_TRUCK,2500,CNG,2023-08-08
VEH0080,EV_VAN,1200,Electric,2025-03-16
VEH0081,VAN,1000,Diesel,2025-07-12
VEH0082,TRUCK,5000,Diesel,2025-10-16
VEH0083,MINI_TRUCK,2500,CNG,2025-09-03
VEH0084,EV_VAN,1200,Electric,2024-02-18
VEH0085,VAN,1000,Diesel,2022-10-08
VEH0086,TRUCK,5000,Diesel,2025-03-20
VEH0087,MINI_TRUCK,2500,CNG,2025-01-27
VEH0088,EV_VAN,1200,Electric,2025-10-18
VEH0089,VAN,1000,Diesel,2024-06-30
VEH0090,TRUCK,5000,Diesel,2022-07-18
VEH0091,MINI_TRUCK,2500,CNG,2023-12-06
VEH0092,EV_VAN,1200,Electric,2023-09-20
VEH0093,VAN,1000,Diesel,2025-03-26
VEH0094,TRUCK,5000,Diesel,2023-07-04
VEH0095,MINI_TRUCK,2500,CNG,2023-04-06
VEH0096,EV_VAN,1200,Electric,2022-04-23
VEH0097,VAN,1000,Diesel,2025-03-15
VEH0098,TRUCK,5000,Diesel,2024-11-23
VEH0099,MINI_TRUCK,2500,CNG,2022-02-27
VEH0100,EV_VAN,1200,Electric,2023-08-31
