event_id,shipment_id,event_timestamp,location,latitude,longitude,event_type,status
EVT000000001,SHP0000001,2026-08-24 02:40:00,Bengaluru,12.949192,77.632691,ORDER_CREATED,Order Created
EVT000000002,SHP0000001,2026-08-24 19:40:00,Mumbai,19.071077,72.848232,PICKED_UP,Picked Up
EVT000000003,SHP0000001,2026-08-25 14:40:00,Chennai,13.053116,80.245213,AT_WAREHOUSE,At Warehouse
EVT000000004,SHP0000002,2026-08-12 09:17:00,Bengaluru,12.972972,77.6183,ORDER_CREATED,Order Created
EVT000000005,SHP0000002,2026-08-12 22:17:00,Mumbai,19.043063,72.888363,PICKED_UP,Picked Up
EVT000000006,SHP0000002,2026-08-13 11:17:00,Chennai,13.10111,80.218252,AT_WAREHOUSE,At Warehouse
EVT000000007,SHP0000003,2026-08-21 08:11:00,Mumbai,19.051587,72.840059,ORDER_CREATED,Order Created
EVT000000008,SHP0000003,2026-08-22 01:11:00,Bengaluru,12.979853,77.633999,PICKED_UP,Picked Up
EVT000000009,SHP0000003,2026-08-21 22:11:00,Chennai,13.106905,80.261546,AT_WAREHOUSE,At Warehouse
EVT000000010,SHP0000003,2026-08-22 23:11:00,Hyderabad,17.438176,78.501894,IN_TRANSIT,In Transit
EVT000000011,SHP0000004,2026-07-31 00:59:00,New Delhi,28.571535,77.161467,ORDER_CREATED,Order Created
EVT000000012,SHP0000004,2026-07-31 14:59:00,Mumbai,19.063576,72.907022,PICKED_UP,Picked Up
EVT000000013,SHP0000004,2026-08-01 14:59:00,Bengaluru,12.948706,77.610432,AT_WAREHOUSE,At Warehouse
EVT000000014,SHP0000005,2026-05-30 16:59:00,Hyderabad,17.350097,78.461156,ORDER_CREATED,Order Created
EVT000000015,SHP0000005,2026-05-31 06:59:00,Mumbai,19.072707,72.839392,PICKED_UP,Picked Up
EVT000000016,SHP0000005,2026-05-31 22:59:00,Bengaluru,12.939782,77.580889,AT_WAREHOUSE,At Warehouse
EVT000000017,SHP0000006,2026-08-26 17:29:00,Bengaluru,12.978862,77.613105,ORDER_CREATED,Order Created
EVT000000018,SHP0000006,2026-08-27 02:29:00,Mumbai,19.045622,72.837022,PICKED_UP,Picked Up
EVT000000019,SHP0000006,2026-08-28 01:29:00,Chennai,13.055481,80.248821,AT_WAREHOUSE,At Warehouse
EVT000000020,SHP0000006,2026-08-28 02:29:00,Hyderabad,17.360941,78.462599,IN_TRANSIT,In Transit
EVT000000021,SHP0000006,2026-08-29 09:29:00,Hyderabad,17.352921,78.475702,OUT_FOR_DELIVERY,Out For Delivery
EVT000000022,SHP0000007,2026-02-22 01:01:00,Hyderabad,17.44592,78.514446,ORDER_CREATED,Order Created
EVT000000023,SHP0000007,2026-02-22 13:01:00,Mumbai,19.083236,72.908354,PICKED_UP,Picked Up
EVT000000024,SHP0000007,2026-02-22 19:01:00,Bengaluru,12.979291,77.616149,AT_WAREHOUSE,At Warehouse
EVT000000025,SHP0000007,2026-02-22 22:01:00,Chennai,13.098957,80.299416,IN_TRANSIT,In Transit
EVT000000026,SHP0000007,2026-02-23 13:01:00,Chennai,13.060679,80.289985,OUT_FOR_DELIVERY,Out For Delivery
EVT000000027,SHP0000008,2026-04-21 09:57:00,Bengaluru,12.993557,77.582313,ORDER_CREATED,Order Created
EVT000000028,SHP0000008,2026-04-22 04:57:00,Mumbai,19.03725,72.835699,PICKED_UP,Picked Up
EVT000000029,SHP0000008,2026-04-22 11:57:00,Chennai,13.051194,80.299123,AT_WAREHOUSE,At Warehouse
EVT000000030,SHP0000008,2026-04-23 03:57:00,Hyderabad,17.405266,78.514348,IN_TRANSIT,In Transit
EVT000000031,SHP0000008,2026-04-22 17:57:00,Hyderabad,17.372422,78.457495,OUT_FOR_DELIVERY,Out For Delivery
EVT000000032,SHP0000008,2026-04-23 11:57:00,Hyderabad,17.414532,78.53112,DELIVERED,Delivered
EVT000000033,SHP0000009,2026-08-22 21:14:00,Mumbai,19.140259,72.885469,ORDER_CREATED,Order Created
EVT000000034,SHP0000009,2026-08-23 10:14:00,Bengaluru,12.974468,77.609037,PICKED_UP,Picked Up
EVT000000035,SHP0000009,2026-08-24 03:14:00,Chennai,13.038278,80.278467,AT_WAREHOUSE,At Warehouse
EVT000000036,SHP0000009,2026-08-24 09:14:00,Hyderabad,17.376981,78.482636,IN_TRANSIT,In Transit
EVT000000037,SHP0000010,2026-07-14 17:35:00,Chennai,13.082703,80.23649,ORDER_CREATED,Order Created
EVT000000038,SHP0000010,2026-07-15 01:35:00,Mumbai,19.078042,72.870185,PICKED_UP,Picked Up
EVT000000039,SHP0000010,2026-07-15 09:35:00,Bengaluru,12.969043,77.604953,AT_WAREHOUSE,At Warehouse
EVT000000040,SHP0000010,2026-07-16 23:35:00,Hyderabad,17.343041,78.445809,IN_TRANSIT,In Transit
EVT000000041,SHP0000010,2026-07-17 13:35:00,Hyderabad,17.376877,78.457703,OUT_FOR_DELIVERY,Out For Delivery
EVT000000042,SHP0000010,2026-07-17 20:35:00,Hyderabad,17.323441,78.493904,DELIVERED,Delivered
EVT000000043,SHP0000011,2026-03-26 16:09:00,Mumbai,19.085679,72.885518,ORDER_CREATED,Order Created
EVT000000044,SHP0000011,2026-03-27 10:09:00,Bengaluru,12.939414,77.595067,PICKED_UP,Picked Up
EVT000000045,SHP0000011,2026-03-28 04:09:00,Chennai,13.145089,80.277847,AT_WAREHOUSE,At Warehouse
EVT000000046,SHP0000011,2026-03-27 19:09:00,Hyderabad,17.40586,78.459874,IN_TRANSIT,In Transit
EVT000000047,SHP0000011,2026-03-29 12:09:00,Hyderabad,17.457061,78.528241,OUT_FOR_DELIVERY,Out For Delivery
EVT000000048,SHP0000011,2026-03-28 13:09:00,Hyderabad,17.380208,78.540117,DELIVERED,Delivered
EVT000000049,SHP0000012,2026-07-28 02:47:00,Chennai,13.027379,80.249702,ORDER_CREATED,Order Created
EVT000000050,SHP0000012,2026-07-28 20:47:00,Mumbai,19.052253,72.92213,PICKED_UP,Picked Up
EVT000000051,SHP0000012,2026-07-28 20:47:00,Bengaluru,12.962373,77.57124,AT_WAREHOUSE,At Warehouse
EVT000000052,SHP0000012,2026-07-29 14:47:00,Hyderabad,17.405079,78.482987,IN_TRANSIT,In Transit
EVT000000053,SHP0000013,2026-06-27 18:48:00,Ahmedabad,23.040698,72.576619,ORDER_CREATED,Order Created
EVT000000054,SHP0000013,2026-06-28 08:48:00,Mumbai,19.101632,72.908771,PICKED_UP,Picked Up
EVT000000055,SHP0000013,2026-06-28 12:48:00,Bengaluru,13.034809,77.575868,AT_WAREHOUSE,At Warehouse
EVT000000056,SHP0000013,2026-06-29 18:48:00,Chennai,13.121058,80.302707,IN_TRANSIT,In Transit
EVT000000057,SHP0000013,2026-06-28 22:48:00,Hyderabad,17.389777,78.459201,OUT_FOR_DELIVERY,Out For Delivery
EVT000000058,SHP0000013,2026-07-01 07:48:00,Hyderabad,17.351415,78.441448,DELIVERED,Delivered
EVT000000059,SHP0000014,2026-05-26 19:06:00,Mumbai,19.050828,72.818298,ORDER_CREATED,Order Created
EVT000000060,SHP0000014,2026-05-27 02:06:00,Bengaluru,12.975339,77.618993,PICKED_UP,Picked Up
EVT000000061,SHP0000014,2026-05-28 09:06:00,Chennai,13.053142,80.252706,AT_WAREHOUSE,At Warehouse
EVT000000062,SHP0000014,2026-05-27 19:06:00,Hyderabad,17.397408,78.51392,IN_TRANSIT,In Transit
EVT000000063,SHP0000014,2026-05-28 15:06:00,Hyderabad,17.411241,78.481734,OUT_FOR_DELIVERY,Out For Delivery
EVT000000064,SHP0000014,2026-05-29 22:06:00,Hyderabad,17.397015,78.493256,DELIVERED,Delivered
EVT000000065,SHP0000015,2026-04-23 15:02:00,Chennai,13.029786,80.244963,ORDER_CREATED,Order Created
EVT000000066,SHP0000015,2026-04-24 09:02:00,Mumbai,19.11596,72.874166,PICKED_UP,Picked Up
EVT000000067,SHP0000015,2026-04-24 21:02:00,Bengaluru,12.946369,77.588766,AT_WAREHOUSE,At Warehouse
EVT000000068,SHP0000015,2026-04-25 00:02:00,Hyderabad,17.371784,78.469212,IN_TRANSIT,In Transit
EVT000000069,SHP0000016,2026-03-07 01:03:00,Hyderabad,17.391245,78.481341,ORDER_CREATED,Order Created
EVT000000070,SHP0000016,2026-03-07 19:03:00,Mumbai,19.061809,72.854621,PICKED_UP,Picked Up
EVT000000071,SHP0000016,2026-03-08 15:03:00,Bengaluru,12.959821,77.611523,AT_WAREHOUSE,At Warehouse
EVT000000072,SHP0000016,2026-03-08 10:03:00,Chennai,13.129754,80.237074,IN_TRANSIT,In Transit
EVT000000073,SHP0000016,2026-03-09 05:03:00,Chennai,13.034659,80.263404,OUT_FOR_DELIVERY,Out For Delivery
EVT000000074,SHP0000016,2026-03-08 07:03:00,Chennai,13.13931,80.288478,DELIVERED,Delivered
EVT000000075,SHP0000017,2026-01-16 08:06:00,Mumbai,19.089786,72.843799,ORDER_CREATED,Order Created
EVT000000076,SHP0000017,2026-01-16 21:06:00,Bengaluru,12.991238,77.585224,PICKED_UP,Picked Up
EVT000000077,SHP0000017,2026-01-17 18:06:00,Chennai,13.076003,80.269219,AT_WAREHOUSE,At Warehouse
EVT000000078,SHP0000017,2026-01-17 14:06:00,Hyderabad,17.424144,78.442922,IN_TRANSIT,In Transit
EVT000000079,SHP0000017,2026-01-17 20:06:00,Hyderabad,17.360924,78.493486,OUT_FOR_DELIVERY,Out For Delivery
EVT000000080,SHP0000017,2026-01-18 05:06:00,Hyderabad,17.362135,78.512496,DELIVERED,Delivered
EVT000000081,SHP0000018,2026-02-24 11:18:00,New Delhi,28.638446,77.168665,ORDER_CREATED,Order Created
EVT000000082,SHP0000018,2026-02-25 05:18:00,Mumbai,19.137647,72.898095,PICKED_UP,Picked Up
EVT000000083,SHP0000018,2026-02-25 17:18:00,Bengaluru,12.959972,77.594919,AT_WAREHOUSE,At Warehouse
EVT000000084,SHP0000019,2026-01-30 21:51:00,Hyderabad,17.352211,78.469762,ORDER_CREATED,Order Created
EVT000000085,SHP0000019,2026-01-31 04:51:00,Mumbai,19.066058,72.882853,PICKED_UP,Picked Up
EVT000000086,SHP0000019,2026-01-31 23:51:00,Bengaluru,12.986504,77.562294,AT_WAREHOUSE,At Warehouse
EVT000000087,SHP0000019,2026-02-02 00:51:00,Chennai,13.105805,80.293612,IN_TRANSIT,In Transit
EVT000000088,SHP0000019,2026-02-02 09:51:00,Chennai,13.063899,80.279301,OUT_FOR_DELIVERY,Out For Delivery
EVT000000089,SHP0000020,2026-03-28 21:25:00,Bengaluru,12.970197,77.595219,ORDER_CREATED,Order Created
EVT000000090,SHP0000020,2026-03-29 14:25:00,Mumbai,19.0498,72.878847,PICKED_UP,Picked Up
EVT000000091,SHP0000020,2026-03-30 11:25:00,Chennai,13.056131,80.291077,AT_WAREHOUSE,At Warehouse
EVT000000092,SHP0000020,2026-03-31 06:25:00,Hyderabad,17.379252,78.479415,IN_TRANSIT,In Transit
EVT000000093,SHP0000020,2026-03-30 17:25:00,Hyderabad,17.358957,78.506124,OUT_FOR_DELIVERY,Out For Delivery
EVT000000094,SHP0000021,2026-03-28 02:14:00,Mumbai,19.043059,72.872731,ORDER_CREATED,Order Created
EVT000000095,SHP0000021,2026-03-28 17:14:00,Bengaluru,13.004951,77.572831,PICKED_UP,Picked Up
EVT000000096,SHP0000021,2026-03-29 10:14:00,Chennai,13.040863,80.258683,AT_WAREHOUSE,At Warehouse
EVT000000097,SHP0000021,2026-03-28 23:14:00,Hyderabad,17.426953,78.449495,IN_TRANSIT,In Transit
EVT000000098,SHP0000021,2026-03-30 14:14:00,Hyderabad,17.383927,78.502724,OUT_FOR_DELIVERY,Out For Delivery
EVT000000099,SHP0000021,2026-03-31 20:14:00,Hyderabad,17.370399,78.477533,DELIVERED,Delivered
EVT000000100,SHP0000022,2026-03-29 17:55:00,Mumbai,19.112803,72.893303,ORDER_CREATED,Order Created
EVT000000101,SHP0000022,2026-03-30 08:55:00,Bengaluru,999.0,77.575874,PICKED_UP,Picked Up
EVT000000102,SHP0000022,2026-03-31 07:55:00,Chennai,13.038076,-500.0,AT_WAREHOUSE,At Warehouse
EVT000000103,SHP0000023,2026-02-10 02:02:00,New Delhi,28.65289,77.180787,ORDER_CREATED,Order Created
EVT000000104,SHP0000023,2026-02-10 17:02:00,Mumbai,19.070765,72.84762,PICKED_UP,Picked Up
EVT000000105,SHP0000023,2026-02-11 16:02:00,Bengaluru,12.955097,77.592442,AT_WAREHOUSE,At Warehouse
EVT000000106,SHP0000023,2026-02-11 11:02:00,Chennai,13.086182,80.233422,IN_TRANSIT,In Transit
EVT000000107,SHP0000023,2026-02-11 06:02:00,Hyderabad,17.437785,78.468268,OUT_FOR_DELIVERY,Out For Delivery
EVT000000108,SHP0000024,2026-02-20 07:01:00,Hyderabad,17.399067,78.516576,ORDER_CREATED,Order Created
EVT000000109,SHP0000024,2026-02-20 13:01:00,Mumbai,19.023571,72.92652,PICKED_UP,Picked Up
EVT000000110,SHP0000024,2026-02-21 13:01:00,Bengaluru,12.940141,77.613626,AT_WAREHOUSE,At Warehouse
EVT000000111,SHP0000024,2026-02-21 04:01:00,Chennai,13.100752,80.264209,IN_TRANSIT,In Transit
EVT000000112,SHP0000024,2026-02-22 11:01:00,Chennai,13.117368,80.271677,OUT_FOR_DELIVERY,Out For Delivery
EVT000000113,SHP0000024,2026-02-23 20:01:00,Chennai,13.049006,80.324316,DELIVERED,Delivered
